tiempos1,km/h1
1649.2648,32.90
1651.4850,38.38
1654.4874,43.86
1656.0872,44.44
1659.1444,50.80
1661.3228,49.33
1664.2249,43.86
1666.5814,32.90
1667.2192,47.02
1668.6035,34.70
1670.4277,38.38
1672.8650,32.71
1677.2347,41.91
1679.3873,43.86
1681.8870,43.86
1683.2250,43.92
1686.3123,43.86
1688.7590,40.51
1689.9431,42.14
1692.1749,43.85
1696.1562,38.38
1697.9519,42.09
1699.1123,43.86
1701.0423,42.21
1703.5624,43.92
1705.8625,43.91
1707.6242,43.81
1709.8218,48.93
1711.7122,43.86
1713.5741,43.88
1716.6001,40.49
1718.4706,38.36
1720.2278,38.38
1721.5135,38.38
1723.8452,39.81
1725.2421,38.38
1728.3136,38.37
1730.3704,38.38
1731.3084,39.31
1733.0760,40.65
1734.2670,35.30
1735.2482,33.07
1738.6147,32.90
1741.0145,32.90
1742.2652,32.89
1743.5317,32.90
1745.1636,32.89
1746.8761,27.42
1749.0189,21.73
1752.1579,16.45
1756.8637,5.48
1760.3856,10.89
1764.0098,24.50
1766.2334,29.52
1769.5648,32.90
1772.8977,32.87
1775.6603,28.86
1775.8140,59.18
1777.6696,21.93
1779.1446,21.99
1783.0580,16.45
1785.0420,18.72
1787.4910,16.26
1789.3913,16.45
1792.9913,16.45
1795.5249,16.45
1795.8587,16.45
1798.6212,21.94
1801.3198,21.93
1804.5534,26.13
1807.3119,30.07
1809.1479,32.53
1811.2318,32.90
1813.1149,32.71
1815.3151,32.71
1817.1993,38.38
1818.6422,38.38
1819.4490,51.84
1820.2993,38.38
1823.3734,40.30
1824.7276,38.36
1826.9133,38.23
1829.5424,39.06
1831.5915,42.58
1834.6138,38.40
1836.2709,38.38
1837.4564,38.38
1839.2565,38.38
1840.9423,38.37
1842.6995,38.38
1844.3564,38.38
1845.9502,43.90
1847.4871,43.85
1848.7249,43.87
1852.2849,38.38
1853.4708,38.39
1855.5428,61.63
1855.8854,38.38
1857.4421,38.38
1858.6563,38.38
1861.4584,40.41
1863.3626,43.26
1867.3996,38.38
1868.9054,64.47
1870.2566,38.38
1871.6421,38.38
1873.9472,42.63
1876.2138,38.38
1878.3272,38.46
1880.3481,32.86
1881.3370,40.28
1886.5768,27.39
1889.0187,21.38
1891.7519,15.01
1895.1913,16.45
1897.8246,16.45
1901.3584,17.05
1903.7418,23.21
1905.7175,26.87
1908.2571,27.41
1910.6973,27.41
1913.7992,24.24
1917.0071,13.07
1927.5864,10.82
1929.6968,21.96
1932.4379,27.34
1937.0568,28.02
1938.9858,37.78
1943.0755,43.26
1945.0085,40.21
1951.0651,32.90
1952.7320,32.91
1954.3154,31.04
1957.5428,25.12
1958.7435,21.92
1962.6850,10.97
1970.2591,31.07
1974.3274,16.53
1977.1711,21.85
1979.4141,32.29
1981.4492,32.97
1983.5982,32.90
1985.7857,37.36
1988.3291,34.73
1990.5993,38.53
1992.4422,38.37
1995.2749,43.86
1998.4124,43.86
2000.6503,43.86
2001.6878,43.86
2003.6376,43.85
2005.6894,46.93
2007.9539,50.76
2010.4124,43.86
2011.9250,43.86
2015.6387,41.35
2017.3708,38.84
2020.3935,34.26
2023.0150,32.90
2025.5983,32.90
2030.1818,32.90
2031.5151,32.90
2034.2820,32.90
2036.0484,32.94
2038.5816,32.90
2040.9803,35.52
2043.2783,34.17
2046.8980,36.27
2049.3683,37.14
2051.7423,38.42
2053.4127,44.06
2055.2877,44.02
2057.4459,40.30
2060.0167,41.63
2062.2499,43.86
2063.3992,44.42
2065.5895,49.35
2067.0565,49.31
2068.1909,54.85
2071.9501,43.86
2073.9672,48.76
2076.2752,43.87
2077.9185,47.32
2079.4339,48.85
2081.4233,49.51
2082.9898,49.35
2085.7625,46.51
2086.8341,49.36
2089.7892,49.36
2090.8630,53.61
2093.1784,49.37
2094.7511,54.19
2096.8110,54.80
2099.0565,49.49
2101.4999,43.86
2102.9624,43.86
2104.8628,43.86
2106.6500,43.97
2110.1253,43.88
2111.7374,43.86
2113.9752,43.88
2115.4133,38.38
2117.0135,38.32
2119.2709,37.78
2120.9611,28.84
2123.3866,26.31
2126.5251,16.60
2140.0650,6.12
2144.2203,21.78
2146.3243,25.26
2151.6453,22.07
2154.3935,20.63
2156.9195,21.93
2159.4448,21.93
2161.2572,27.46
2163.9441,21.85
